Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,make,model
Hyundai i10 Magna 1.2 iTech SE,10,2012,45275,1,1,1,20.36,1197,78.9,5.0,6.5,2.8,Hyundai,3
Hyundai i20 1.4 CRDi Asta,10,2012,83000,2,1,1,23.0,1396,90.0,5.0,10.0,5.5,Hyundai,1
Hyundai i10 Sportz AT,1,2009,37000,1,2,3,16.95,1197,78.9,5.0,6.5,2.95,Hyundai,3
Hyundai i20 Asta 1.2,10,2011,79152,1,1,2,18.5,1197,82.85,5.0,10.0,3.3,Hyundai,1
Hyundai i20 Asta Option 1.2,3,2016,24973,1,1,1,18.6,1197,81.83,5.0,10.0,7.66,Hyundai,1
Hyundai Verna 1.6 SX,1,2012,80000,2,1,1,22.32,1582,126.32,5.0,13.5,5.25,Hyundai,4
Hyundai i10 Magna 1.2,2,2009,620000,1,1,1,20.36,1197,78.9,5.0,6.5,2.7,Hyundai,3
Hyundai Grand i10 AT Asta,3,2015,37081,1,2,1,18.9,1197,82.0,5.0,7.5,5.77,Hyundai,2
Hyundai Verna Transform VTVT,10,2010,95000,1,1,1,16.2,1599,103.2,5.0,13.5,2.5,Hyundai,4
Hyundai Verna 1.6 SX VTVT,10,2011,49768,1,1,2,17.01,1591,121.3,5.0,13.5,4.95,Hyundai,4
Hyundai i20 Active SX Petrol,6,2017,40250,1,1,1,17.19,1197,81.86,5.0,10.0,6.9,Hyundai,1
Hyundai Grand i10 SportZ Edition,7,2018,40322,1,1,1,18.9,1197,81.86,5.0,7.5,5.5,Hyundai,2
Hyundai i20 1.2 Asta Option,3,2017,26185,1,1,1,18.6,1197,81.83,5.0,10.0,7.98,Hyundai,1
Hyundai i20 2015-2017 Asta 1.2,10,2016,6800,1,1,1,18.6,1197,81.83,5.0,10.0,7.2,Hyundai,1
Hyundai Grand i10 CRDi Magna,8,2017,14000,2,1,1,24.0,1120,70.0,5.0,7.5,4.6,Hyundai,2
Hyundai Grand i10 Sportz,4,2015,27000,1,1,1,18.9,1197,82.0,5.0,7.5,4.5,Hyundai,2
Hyundai Verna 1.6 SX,8,2013,37873,2,1,1,22.32,1582,126.32,5.0,13.5,4.8,Hyundai,4
Hyundai i10 Era,6,2010,59000,1,1,2,19.81,1086,68.05,5.0,6.5,2.32,Hyundai,3
Hyundai Grand i10 Sportz,9,2017,8500,1,1,2,18.9,1197,82.0,5.0,7.5,4.8,Hyundai,2
Hyundai i20 Asta 1.4 CRDi,4,2014,43900,2,1,1,22.54,1396,88.73,5.0,10.0,6.75,Hyundai,1
Hyundai Verna 1.6 SX CRDI (O) AT,3,2019,77240,2,2,1,22.32,1582,126.32,5.0,13.5,8.31,Hyundai,4
Hyundai i20 1.2 Spotz,7,2016,42362,1,1,1,18.6,1197,81.83,5.0,10.0,6.15,Hyundai,1
Hyundai i20 1.2 Magna,1,2015,59000,1,1,1,18.5,1197,80.0,5.0,10.0,5.75,Hyundai,1
Hyundai Verna 1.6 SX CRDi (O),6,2012,72000,2,1,2,22.32,1582,126.32,5.0,13.5,5.8,Hyundai,4
Hyundai Verna 1.6 CRDi SX,3,2017,38056,2,1,1,23.9,1582,126.2,5.0,13.5,10.7,Hyundai,4
Hyundai i20 Asta 1.4 CRDi,4,2014,67407,2,1,1,21.27,1396,88.76,5.0,10.0,4.65,Hyundai,1
Hyundai i20 Sportz Option,4,2013,48454,1,1,2,17.0,1197,80.0,5.0,10.0,3.5,Hyundai,1
Hyundai i10 Sportz,8,2013,25000,1,1,1,20.36,1197,78.9,5.0,6.5,2.65,Hyundai,3
Hyundai Verna 1.6 CRDI,3,2016,37882,2,1,1,22.32,1582,126.3,5.0,13.5,9.19,Hyundai,4
Hyundai i20 1.4 Magna ABS,2,2009,47000,2,1,1,21.9,1396,90.0,5.0,10.0,2.8,Hyundai,1
Hyundai Grand i10 CRDi Sportz,6,2014,64000,2,1,1,24.0,1120,70.0,5.0,7.5,4.15,Hyundai,2
Hyundai Verna CRDi SX,6,2008,170000,2,1,2,16.8,1493,110.0,5.0,13.5,1.5,Hyundai,4
Hyundai i20 Asta Option 1.2,10,2016,21000,1,1,1,18.6,1197,81.83,5.0,10.0,6.3,Hyundai,1
Hyundai i10 Magna Optional 1.1L,5,2008,80400,1,1,1,16.0,1086,66.7,5.0,6.5,2.3,Hyundai,3
Hyundai Verna 1.6 SX CRDi (O),6,2012,75200,2,1,1,22.32,1582,126.32,5.0,13.5,5.25,Hyundai,4
Hyundai i20 Asta 1.4 CRDi,5,2015,86157,2,1,1,22.54,1396,88.73,5.0,10.0,6.5,Hyundai,1
Hyundai i20 Asta,1,2009,64000,1,1,2,17.0,1197,80.0,5.0,10.0,4.1,Hyundai,1
Hyundai i10 Sportz,9,2011,35000,1,1,1,20.36,1197,78.9,5.0,6.5,2.75,Hyundai,3
Hyundai Grand i10 Asta,3,2017,74515,1,1,1,18.9,1197,82.0,5.0,7.5,5.64,Hyundai,2
Hyundai Verna 1.6 VTVT,7,2017,37688,1,1,1,17.01,1591,121.3,5.0,13.5,7.88,Hyundai,4
Hyundai i20 1.2 Magna,2,2010,67714,1,1,1,18.5,1197,80.0,5.0,10.0,3.25,Hyundai,1
Hyundai Verna Transform VTVT,10,2010,51000,1,1,1,16.2,1599,103.2,5.0,13.5,3.1,Hyundai,4
Hyundai Grand i10 1.2 CRDi Magna,8,2017,14000,2,1,1,24.0,1186,73.97,5.0,7.5,4.9,Hyundai,2
Hyundai i10 Sportz AT,3,2014,41016,1,2,2,16.95,1197,78.9,5.0,6.5,5.08,Hyundai,3
Hyundai Verna 1.6 SX,1,2012,67000,2,1,1,22.32,1582,126.32,5.0,13.5,6.25,Hyundai,4
Hyundai Verna 1.6 SX,5,2011,98000,2,1,2,22.32,1582,126.32,5.0,13.5,5.2,Hyundai,4
Hyundai i20 Magna 1.2,9,2018,19500,1,1,1,18.6,1197,81.83,5.0,10.0,5.85,Hyundai,1
Hyundai Verna 1.6 SX VTVT,5,2014,67000,1,1,1,17.01,1591,121.3,5.0,13.5,5.6,Hyundai,4
Hyundai i20 1.2 Asta Option,8,2018,11000,1,1,1,18.6,1197,81.83,5.0,10.0,6.35,Hyundai,1
Hyundai Verna 1.6 SX VTVT (O),8,2013,35000,1,1,1,17.1,1591,121.3,5.0,13.5,4.5,Hyundai,4
Hyundai i10 Sportz,7,2016,21456,1,1,1,20.36,1197,78.9,5.0,6.5,4.55,Hyundai,3
Hyundai i20 Asta Option 1.2,9,2015,37000,1,1,2,18.6,1197,81.83,5.0,10.0,5.25,Hyundai,1
Hyundai i20 Asta Option 1.2,7,2017,58620,1,1,1,18.6,1197,81.83,5.0,10.0,7.14,Hyundai,1
Hyundai i20 1.2 Sportz,6,2012,71172,1,1,3,17.0,1197,80.0,5.0,10.0,3.5,Hyundai,1
Hyundai i20 1.4 Asta,2,2017,12000,2,1,1,22.54,1396,88.73,5.0,10.0,7.3,Hyundai,1
Hyundai i20 1.4 Asta Option,1,2017,43000,2,1,2,22.54,1396,88.73,5.0,10.0,8.2,Hyundai,1
Hyundai Grand i10 CRDi Magna,7,2016,52625,2,1,1,24.0,1120,70.0,5.0,7.5,4.58,Hyundai,2
Hyundai i10 Magna 1.1,3,2014,60138,1,1,1,19.81,1086,68.05,5.0,6.5,4.09,Hyundai,3
Hyundai Verna 1.6 CRDi EX AT,4,2013,66000,2,2,1,22.32,1582,126.3,5.0,13.5,5.7,Hyundai,4
Hyundai Verna 1.6 SX CRDi (O),3,2015,72996,2,1,1,22.32,1582,126.32,5.0,13.5,7.11,Hyundai,4
Hyundai i20 1.2 Asta Option,3,2018,15985,1,1,1,18.6,1197,81.83,5.0,10.0,7.77,Hyundai,1
Hyundai i20 Magna 1.2,5,2014,70089,1,1,1,18.6,1197,81.83,5.0,10.0,5.35,Hyundai,1
Hyundai Grand i10 AT Asta,3,2015,61717,1,2,1,18.9,1197,82.0,5.0,7.5,5.57,Hyundai,2
Hyundai i10 Sportz,1,2010,69000,1,1,1,20.36,1197,78.9,5.0,6.5,2.9,Hyundai,3
Hyundai i10 Magna,6,2010,66770,1,1,2,20.36,1197,78.9,5.0,6.5,2.6,Hyundai,3
Hyundai i10 Magna 1.1,7,2014,58472,1,1,1,19.81,1086,68.05,5.0,6.5,3.41,Hyundai,3
Hyundai Verna CRDi SX,5,2013,82966,2,1,1,16.8,1493,110.0,5.0,13.5,7.2,Hyundai,4
Hyundai i20 1.2 Asta,4,2013,71000,1,1,1,17.0,1197,80.0,5.0,10.0,3.65,Hyundai,1
Hyundai i20 Sportz Diesel,4,2012,71000,2,1,1,23.0,1396,90.0,5.0,10.0,3.7,Hyundai,1
Hyundai Grand i10 AT Asta,3,2017,19168,1,2,1,18.9,1197,82.0,5.0,7.5,6.93,Hyundai,2
Hyundai i10 Era,6,2008,84000,1,1,2,19.81,1086,68.05,5.0,6.5,1.8,Hyundai,3
Hyundai i20 1.2 Sportz,10,2011,41980,1,1,2,17.0,1197,80.0,5.0,10.0,3.3,Hyundai,1
Hyundai Grand i10 AT Asta,10,2014,37632,1,2,1,18.9,1197,82.0,5.0,7.5,4.5,Hyundai,2
Hyundai Verna 1.6 SX VTVT (O) AT,3,2012,54957,1,2,1,17.1,1591,121.4,5.0,13.5,5.37,Hyundai,4
Hyundai i20 Sportz 1.4 CRDi,5,2015,26000,2,1,1,22.54,1396,88.73,5.0,10.0,6.2,Hyundai,1
Hyundai i20 1.2 Magna,8,2010,18000,1,1,1,18.5,1197,80.0,5.0,10.0,2.25,Hyundai,1
Hyundai Verna 1.6 SX,0,2014,63003,2,1,1,22.32,1582,126.32,5.0,13.5,6.75,Hyundai,4
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),1,2014,67000,2,1,1,23.0,1396,90.0,5.0,10.0,5.5,Hyundai,1
Hyundai Grand i10 Asta Option,3,2016,44178,1,1,1,18.9,1197,82.0,5.0,7.5,5.88,Hyundai,2
Hyundai i20 1.2 Magna,8,2015,35000,1,1,1,18.5,1197,80.0,5.0,10.0,4.6,Hyundai,1
Hyundai i10 Era 1.1,4,2012,51000,1,1,2,19.81,1086,68.05,5.0,6.5,2.2,Hyundai,3
Hyundai i10 Sportz,8,2009,43002,1,1,1,20.36,1197,78.9,5.0,6.5,1.92,Hyundai,3
Hyundai Grand i10 Sportz,8,2013,29000,1,1,1,18.9,1197,82.0,5.0,7.5,3.2,Hyundai,2
Hyundai i20 Asta 1.4 CRDi (Diesel),7,2010,93401,2,1,1,23.0,1396,90.0,5.0,10.0,3.48,Hyundai,1
Hyundai i20 1.2 Sportz Option,1,2010,61000,1,1,4,17.0,1197,80.0,5.0,10.0,3.25,Hyundai,1
Hyundai i10 Magna 1.2,7,2013,46821,1,1,1,20.36,1197,78.9,5.0,6.5,3.42,Hyundai,3
Hyundai i10 Asta AT,9,2011,64984,1,2,1,16.95,1197,78.9,5.0,6.5,3.45,Hyundai,3
Hyundai Verna CRDi 1.6 SX Option,7,2014,89614,2,1,1,22.0,1582,126.2,5.0,13.5,6.01,Hyundai,4
Hyundai i20 Sportz Option,2,2012,50000,1,1,1,17.0,1197,80.0,5.0,10.0,4.0,Hyundai,1
Hyundai Verna CRDi SX,10,2012,94900,2,1,1,16.8,1493,110.0,5.0,13.5,5.35,Hyundai,4
Hyundai Verna 1.6 SX VTVT,9,2016,52001,1,1,1,17.01,1591,121.3,5.0,13.5,6.45,Hyundai,4
Hyundai i20 Magna 1.4 CRDi,5,2016,33016,2,1,1,22.54,1396,88.73,5.0,10.0,6.85,Hyundai,1
Hyundai i10 Magna AT,1,2009,60000,1,2,1,19.2,1197,80.0,5.0,6.5,2.99,Hyundai,3
Hyundai Grand i10 CRDi Magna,7,2016,57738,2,1,1,24.0,1120,70.0,5.0,7.5,5.04,Hyundai,2
Hyundai Grand i10 1.2 Kappa Magna,4,2017,8471,1,1,1,18.9,1197,81.86,5.0,7.5,5.0,Hyundai,2
Hyundai Grand i10 1.2 Kappa Asta,5,2017,20000,1,1,1,18.9,1197,81.86,5.0,7.5,5.98,Hyundai,2
Hyundai Grand i10 1.2 Kappa Magna,7,2018,50234,1,1,1,18.9,1197,81.86,5.0,7.5,4.77,Hyundai,2
Hyundai i20 1.2 Magna,0,2010,65000,1,1,1,18.5,1197,80.0,5.0,10.0,3.0,Hyundai,1
Hyundai i10 Era,6,2013,46230,1,1,1,19.81,1086,68.05,5.0,6.5,3.1,Hyundai,3
Hyundai i20 1.2 Asta,6,2018,5000,1,1,1,18.6,1197,81.83,5.0,10.0,6.5,Hyundai,1
Hyundai Verna VTVT 1.6 AT SX Option,9,2015,40600,1,2,1,17.0,1591,121.3,5.0,13.5,7.2,Hyundai,4
Hyundai Verna CRDi 1.6 AT SX Option,0,2013,87000,2,2,1,22.0,1582,126.2,5.0,13.5,5.9,Hyundai,4
Hyundai i10 Magna Optional 1.1L,8,2010,27089,1,1,1,16.0,1086,66.7,5.0,6.5,1.95,Hyundai,3
Hyundai Verna 1.6 SX VTVT (O) AT,9,2017,16100,1,2,1,17.1,1591,121.4,5.0,13.5,11.6,Hyundai,4
Hyundai i10 Sportz,10,2009,62500,1,1,1,20.36,1197,78.9,5.0,6.5,2.1,Hyundai,3
Hyundai i20 Magna Optional 1.4 CRDi,9,2014,12400,2,1,1,21.9,1396,88.8,5.0,10.0,4.65,Hyundai,1
Hyundai i10 Sportz,7,2015,16900,1,1,1,20.36,1197,78.9,5.0,6.5,3.87,Hyundai,3
Hyundai i10 Sportz,4,2013,62334,1,1,1,20.36,1197,78.9,5.0,6.5,2.75,Hyundai,3
Hyundai i20 Asta 1.4 CRDi,7,2015,46950,2,1,1,21.27,1396,88.76,5.0,10.0,6.45,Hyundai,1
Hyundai Grand i10 Sportz,0,2017,17125,1,1,1,18.9,1197,82.0,5.0,7.5,5.4,Hyundai,2
Hyundai i20 1.2 Magna,8,2010,18000,1,1,1,18.5,1197,80.0,5.0,10.0,2.3,Hyundai,1
Hyundai Grand i10 CRDi Sportz Celebration Edition,7,2018,35070,2,1,1,24.0,1120,70.0,5.0,7.5,5.99,Hyundai,2
Hyundai i10 Sportz 1.2,8,2009,40000,1,1,1,20.36,1197,78.9,5.0,6.5,1.7,Hyundai,3
Hyundai i20 Asta,8,2009,43000,1,1,1,17.0,1197,80.0,5.0,10.0,1.99,Hyundai,1
Hyundai Grand i10 AT Asta,9,2015,29631,1,2,1,18.9,1197,82.0,5.0,7.5,4.9,Hyundai,2
Hyundai i20 Magna Optional 1.2,4,2013,63777,1,1,1,18.5,1197,82.9,5.0,10.0,3.67,Hyundai,1
Hyundai Grand i10 CRDi Magna,4,2014,45000,2,1,1,24.0,1120,70.0,5.0,7.5,3.49,Hyundai,2
Hyundai Verna CRDi 1.4 E,2,2008,121097,2,1,2,24.0,1396,88.76,5.0,13.5,1.9,Hyundai,4
Hyundai i10 Sportz AT,7,2014,61517,1,2,1,16.95,1197,78.9,5.0,6.5,4.39,Hyundai,3
Hyundai i20 Magna 1.4 CRDi,4,2015,66823,2,1,2,22.54,1396,88.73,5.0,10.0,4.83,Hyundai,1
Hyundai i20 Asta 1.4 CRDi,2,2012,107000,2,1,2,21.27,1396,88.76,5.0,10.0,4.5,Hyundai,1
Hyundai Grand i10 1.2 Kappa Sportz AT,3,2018,20667,1,2,1,18.9,1197,81.86,5.0,7.5,7.55,Hyundai,2
Hyundai Grand i10 1.2 Kappa Sportz,7,2019,18453,1,1,1,18.9,1197,81.86,5.0,7.5,6.17,Hyundai,2
Hyundai Verna CRDi 1.6 SX,5,2008,96578,2,1,1,22.0,1582,126.2,5.0,13.5,2.5,Hyundai,4
Hyundai Verna 1.6 SX,6,2012,65900,2,1,1,22.32,1582,126.32,5.0,13.5,5.75,Hyundai,4
Hyundai i20 Era 1.4 CRDi,7,2014,46566,2,1,1,22.54,1396,88.76,5.0,10.0,4.4,Hyundai,1
Hyundai Verna 1.6 SX CRDi (O),4,2012,70707,2,1,1,22.32,1582,126.32,5.0,13.5,4.28,Hyundai,4
Hyundai Grand i10 1.2 Kappa Magna AT,1,2018,3000,1,2,1,18.9,1197,81.86,5.0,7.5,6.2,Hyundai,2
Hyundai i10 Era 1.1 iTech SE,6,2010,52000,1,1,2,19.81,1086,68.05,5.0,6.5,2.25,Hyundai,3
Hyundai Verna CRDi SX,0,2013,75000,2,1,1,16.8,1493,110.0,5.0,13.5,6.0,Hyundai,4
Hyundai i20 1.2 Spotz,9,2017,18673,1,1,1,18.6,1197,81.83,5.0,10.0,6.22,Hyundai,1
Hyundai Verna 1.6 SX CRDI (O) AT,7,2016,44875,2,2,2,22.32,1582,126.32,5.0,13.5,8.01,Hyundai,4
Hyundai i20 Asta 1.2,9,2015,42575,1,1,1,18.6,1197,81.83,5.0,10.0,5.05,Hyundai,1
Hyundai Verna 1.6 VTVT S,6,2015,89000,1,1,1,17.01,1591,121.3,5.0,13.5,7.5,Hyundai,4
Hyundai i20 1.4 Asta (AT),2,2009,72000,1,2,3,15.0,1396,100.0,5.0,10.0,3.25,Hyundai,1
Hyundai Verna 1.6 VTVT EX AT,7,2014,35642,1,2,1,17.01,1591,121.4,5.0,13.5,6.69,Hyundai,4
Hyundai i20 1.4 CRDi Asta,8,2011,37000,2,1,1,23.0,1396,90.0,5.0,10.0,2.95,Hyundai,1
Hyundai i20 Asta (o),4,2014,42365,1,1,1,17.0,1197,80.0,5.0,10.0,5.5,Hyundai,1
Hyundai i10 Sportz,2,2012,49000,1,1,1,20.36,1197,78.9,5.0,6.5,3.0,Hyundai,3
Hyundai Verna 1.6 SX VTVT,10,2014,48000,1,1,2,17.01,1591,121.3,5.0,13.5,5.2,Hyundai,4
Hyundai Verna 1.6 CRDI,9,2011,74000,2,1,2,22.32,1582,126.3,5.0,13.5,3.75,Hyundai,4
Hyundai Verna 1.6 CRDI,8,2014,32000,2,1,1,22.32,1582,126.3,5.0,13.5,4.3,Hyundai,4
Hyundai Grand i10 1.2 CRDi Sportz Option,8,2014,42277,2,1,1,24.0,1186,73.97,5.0,7.5,3.85,Hyundai,2
Hyundai Grand i10 Asta Option,1,2015,50000,1,1,1,18.9,1197,82.0,5.0,7.5,5.75,Hyundai,2
Hyundai i10 Magna 1.2,9,2008,62000,1,1,2,20.36,1197,78.9,5.0,6.5,1.65,Hyundai,3
Hyundai i20 1.2 Sportz Option,2,2011,32200,1,1,2,17.0,1197,80.0,5.0,10.0,3.25,Hyundai,1
Hyundai i20 1.4 CRDi Asta,5,2012,60788,2,1,1,23.0,1396,90.0,5.0,10.0,4.5,Hyundai,1
Hyundai i20 1.2 Sportz,1,2012,52237,1,1,1,17.0,1197,80.0,5.0,10.0,4.5,Hyundai,1
Hyundai Verna 1.6 SX,2,2012,128000,2,1,1,22.32,1582,126.32,5.0,13.5,5.0,Hyundai,4
Hyundai i10 Era 1.1,4,2011,54000,1,1,1,19.81,1086,68.05,5.0,6.5,2.2,Hyundai,3
Hyundai i10 Magna(O) with Sun Roof,10,2008,68000,1,1,2,16.0,1086,66.7,5.0,6.5,2.0,Hyundai,3
Hyundai i10 Magna 1.2,6,2010,81402,1,1,2,20.36,1197,78.9,5.0,6.5,2.1,Hyundai,3
Hyundai Grand i10 CRDi Sportz Celebration Edition,7,2017,34429,2,1,1,24.0,1120,70.0,5.0,7.5,5.5,Hyundai,2
Hyundai Grand i10 AT Asta,3,2017,23576,1,2,1,18.9,1197,82.0,5.0,7.5,7.08,Hyundai,2
Hyundai Verna 1.6 SX VTVT (O),3,2015,52191,1,1,1,17.1,1591,121.3,5.0,13.5,7.78,Hyundai,4
Hyundai i20 1.4 Asta CRDi with AVN,5,2016,77076,2,1,1,23.0,1396,90.0,5.0,10.0,6.75,Hyundai,1
Hyundai i10 Magna,8,2013,21000,1,1,1,20.36,1197,78.9,5.0,6.5,2.35,Hyundai,3
Hyundai i20 1.2 Sportz Option,7,2014,55804,1,1,1,17.0,1197,80.0,5.0,10.0,4.76,Hyundai,1
Hyundai i20 1.2 Spotz,3,2018,22684,1,1,1,18.6,1197,81.83,5.0,10.0,7.8,Hyundai,1
Hyundai Grand i10 1.2 Kappa Magna,4,2017,12248,1,1,1,18.9,1197,81.86,5.0,7.5,4.9,Hyundai,2
Hyundai Grand i10 Sportz,4,2016,81605,1,1,1,18.9,1197,82.0,5.0,7.5,4.53,Hyundai,2
Hyundai Verna 1.6 SX VTVT AT,10,2014,34200,1,2,1,15.74,1591,121.3,5.0,13.5,6.5,Hyundai,4
Hyundai Grand i10 1.2 Kappa Sportz,7,2018,10393,1,1,1,18.9,1197,81.86,5.0,7.5,6.03,Hyundai,2
Hyundai i10 Sportz AT,2,2013,21000,1,2,1,16.95,1197,78.9,5.0,6.5,3.96,Hyundai,3
Hyundai i20 1.4 CRDi Asta,5,2011,113562,2,1,1,23.0,1396,90.0,5.0,10.0,4.6,Hyundai,1
Hyundai i20 1.2 Magna Executive,6,2017,58500,1,1,1,18.6,1197,81.83,5.0,10.0,6.25,Hyundai,1
Hyundai Verna CRDi SX,2,2011,108242,2,1,1,16.8,1493,110.0,5.0,13.5,4.25,Hyundai,4
Hyundai i10 Era 1.1,7,2013,34697,1,1,1,19.81,1086,68.05,5.0,6.5,3.7,Hyundai,3
Hyundai i20 1.2 Sportz,5,2012,58000,1,1,1,17.0,1197,80.0,5.0,10.0,4.0,Hyundai,1
Hyundai Grand i10 Sportz,3,2015,36840,1,1,1,18.9,1197,82.0,5.0,7.5,5.64,Hyundai,2
Hyundai Grand i10 Sportz,7,2016,19947,1,1,1,18.9,1197,82.0,5.0,7.5,5.04,Hyundai,2
Hyundai i20 1.2 Magna,2,2011,37442,1,1,1,18.5,1197,80.0,5.0,10.0,3.4,Hyundai,1
Hyundai Grand i10 Magna,6,2014,42355,1,1,1,18.9,1197,82.0,5.0,7.5,4.0,Hyundai,2
Hyundai i20 1.2 Magna Executive,7,2016,28470,1,1,1,18.6,1197,81.83,5.0,10.0,6.95,Hyundai,1
Hyundai i20 Sportz 1.2,2,2017,8000,1,1,1,18.6,1197,81.83,5.0,10.0,6.75,Hyundai,1
Hyundai Verna 1.6 SX VTVT (O),10,2013,21107,1,1,1,17.1,1591,121.3,5.0,13.5,5.25,Hyundai,4
Hyundai Grand i10 1.2 Kappa Asta,3,2016,43041,1,1,1,18.9,1197,81.86,5.0,7.5,6.01,Hyundai,2
Hyundai Grand i10 1.2 Kappa Magna,8,2017,31184,1,1,1,18.9,1197,81.86,5.0,7.5,5.0,Hyundai,2
Hyundai Verna 1.6 SX,3,2014,83558,2,1,1,22.32,1582,126.32,5.0,13.5,6.98,Hyundai,4
Hyundai i20 Sportz Petrol,9,2010,73000,1,1,1,17.0,1197,80.0,5.0,10.0,2.75,Hyundai,1
Hyundai i20 1.2 Magna Executive,7,2019,27339,1,1,1,18.6,1197,81.83,5.0,10.0,6.27,Hyundai,1
Hyundai Verna 1.6 CRDi SX,8,2017,25000,2,1,1,23.9,1582,126.2,5.0,13.5,8.65,Hyundai,4
Hyundai Grand i10 Asta,8,2014,37000,1,1,1,18.9,1197,82.0,5.0,7.5,3.5,Hyundai,2
